epoch,Best test loss,Validation loss
0,36.41449471177726,36.41449471177726
1,36.41449471177726,37.58536203976335
2,31.623945729485875,31.623945729485875
3,28.284537381139295,28.284537381139295
4,26.696126378815748,26.696126378815748
5,26.085694806329137,26.085694806329137
6,26.085694806329137,27.140254020690918
7,25.41426504069361,25.41426504069361
8,22.981730987285747,22.981730987285747
9,20.956780071916253,20.956780071916253
10,20.956780071916253,21.60312639433762
11,20.956780071916253,24.92132124407538
12,20.956780071916253,22.15441055955558
13,20.956780071916253,21.928223873006885
14,20.956780071916253,21.674648646650642
15,20.956780071916253,22.40281557214671
16,20.956780071916253,20.96466435235122
17,18.881817538162757,18.881817538162757
18,18.881817538162757,20.878576607539735
19,18.881817538162757,20.58633488622205
20,18.881817538162757,21.321955056026063
21,18.881817538162757,22.78222028962497
22,18.881817538162757,20.02804266173264
23,18.881817538162757,21.301137192495936
24,18.881817538162757,19.198859946481114
25,18.881817538162757,18.958367142184027
26,18.881817538162757,22.372329243298235
27,18.881817538162757,19.935239438352912
28,18.881817538162757,23.520877270862975
29,18.881817538162757,20.315828775537426
30,18.881817538162757,22.791333774040485
31,18.881817538162757,20.44750184026258
32,18.881817538162757,19.704362088236316
33,18.881817538162757,20.210422984484968
34,18.881817538162757,21.02366906198962
35,18.881817538162757,20.51508200579676
36,18.881817538162757,21.588378832258027
37,18.881817538162757,21.191640311274035
38,18.881817538162757,21.103432975966356
39,18.881817538162757,45.575851777504234
40,18.881817538162757,22.655457644627013
41,18.881817538162757,24.911461612273907
42,18.881817538162757,22.028763943705066
43,18.881817538162757,22.340243281989263
44,18.881817538162757,21.448619447905443
45,18.881817538162757,22.73966907632762
46,18.881817538162757,23.3902175919763
47,18.881817538162757,23.447998782684063
48,18.881817538162757,23.87812217350664
49,18.881817538162757,23.61923388777108
50,18.881817538162757,22.36897583665519
51,18.881817538162757,25.80770600253138
52,18.881817538162757,27.200740074289257
53,18.881817538162757,27.051390393026942
54,18.881817538162757,24.447820293492285
55,18.881817538162757,23.910396090869245
56,18.881817538162757,23.246653240302514
57,18.881817538162757,27.683266483504198
58,18.881817538162757,31.03766993818612
59,18.881817538162757,26.93997305837171
60,18.881817538162757,34.99041138024166
61,18.881817538162757,27.599760787240392
62,18.881817538162757,27.87387896817306
63,18.881817538162757,24.740189963373645
64,18.881817538162757,26.52895686544221
65,18.881817538162757,26.050984875909215
66,18.881817538162757,24.59530933560996
67,18.881817538162757,26.740343208970696
68,18.881817538162757,29.77301772298484
69,18.881817538162757,23.93038586912484
70,18.881817538162757,26.997017046500897
71,18.881817538162757,29.302871161493762
72,18.881817538162757,24.719270845939374
73,18.881817538162757,28.982592886891858
74,18.881817538162757,26.800815138323554
75,18.881817538162757,28.19488788473195
76,18.881817538162757,28.555591784674547
77,18.881817538162757,27.217119599210804
78,18.881817538162757,30.932894468307495
79,18.881817538162757,26.785636885412806
80,18.881817538162757,29.718745572813624
81,18.881817538162757,27.991189858009076
82,18.881817538162757,26.860913030032453
83,18.881817538162757,30.659280431681665
84,18.881817538162757,32.790736662930456
85,18.881817538162757,29.90309664298748
86,18.881817538162757,28.91529646824146
87,18.881817538162757,31.14296377116236
88,18.881817538162757,23.369821396367303
89,18.881817538162757,29.613520346838854
90,18.881817538162757,30.64393955674665
91,18.881817538162757,26.192153231850988
92,18.881817538162757,31.491558979297505
93,18.881817538162757,32.311615269759606
94,18.881817538162757,31.989468204564062
95,18.881817538162757,31.082684484021417
96,18.881817538162757,32.951739418095556
97,18.881817538162757,28.025370326535455
98,18.881817538162757,37.916182838637255
99,18.881817538162757,27.12682210988012
